id,title,authors,abstract,categories,published,url,resource_uri,no,total_results
2606.15005v1,A Transformer-Based Mixture-of-Experts Framework for False Data Injection Attack Detection and Localization,"['Ruslan Abdulin', 'Mohammad Rasoul Narimani']","False data injection attacks (FDIAs) threaten smart-grid operation by manipulating measurement data and misleading power system state estimation. Although recent data-driven methods have shown promising performance, many existing approaches rely on a single graph-filtering mechanism and therefore struggle to adapt to diverse cyberattack patterns. This paper proposes a topology-aware encoder-only transformer mixture-of-experts framework for joint FDIA detection and localization. The proposed model integrates Laplacian positional encoding and diffusion-biased self-attention to capture global spatial dependencies, while a densely routed mixture-of-experts module composed of Chebyshev and autoregressive moving-average graph convolutional experts adaptively applies complementary graph filters based on the current grid state. The framework is evaluated on the IEEE 118- and 300-bus systems using the New York Independent System Operator load profile. Experimental results demonstrate that the proposed approach achieves up to 93.91% detection F1 score and 84.97% localization F1 score, outperforming existing benchmark methods while maintaining low false-alarm rates.",['math.OC'],2026-06-12T22:48:18+00:00,https://arxiv.org/pdf/2606.15005v1,arxiv://2606.15005v1,21,30
2606.14418v1,Causal Object-Centric Models for Planning with Monte Carlo Tree Search,"['Rodion Vakhitov', 'Leonid Ugadiarov', 'Alexey Skrynnik', 'Aleksandr Panov']","We introduce COMET (Causal Object-centric Model for Efficient Tree search), a model-based reinforcement learning algorithm that performs Monte Carlo Tree Search in a slot-structured latent space. COMET pairs a frozen unsupervised object-centric encoder with a transformer-based world model, in which actions are bound to objects through a novel action-slot fusion mechanism that is used in slot transition prediction. Policy and value heads use object-causal attention, modulating token interactions by learned per-slot relevance scores so that decision-making concentrates on task-relevant entities. COMET adds an explicit object-level inductive bias to MuZero-style latent planning. Across eight visually and dynamically diverse tasks from the Object-Centric Visual RL benchmark, ManiSkill, Robosuite, and VizDoom, COMET achieves a higher mean normalized score during the early stages of training compared to object-centric and monolithic baselines.","['cs.AI', 'cs.LG', 'cs.RO']",2026-06-12T12:55:25+00:00,https://arxiv.org/pdf/2606.14418v1,arxiv://2606.14418v1,22,30
2606.14248v1,Spectrum Aware Illumination Estimation Using Multispectral Image,"['Hyejin Oh', 'Woo-Shik Kim', 'Sangyoon Lee', 'YungKyung Park', 'Je-Won Kang']","Multispectral (MS) imaging extends beyond conventional RGB imaging by capturing more spectral bands, thereby improving illuminant spectrum estimation (ISE). However, existing methods often fail to fully exploit spectral information, resulting in suboptimal performance under diverse lighting conditions and across different sensor domains. Hence, we propose a deep learning framework with a spatio-spectral feature extraction block, which incorporates spectral attention mechanisms to enhance spectral correlation and preserve illuminant-relevant spatial features. Through the inclusion of an illuminant prior (IP), our approach prioritizes specific channels that provide more meaningful information in an MS image. We also propose a spectral-domain transform across different MS sensor spaces. The results demonstrate that illuminant spectra learned in high-dimensional sensor spaces can be effectively transformed to various lower-dimensional camera sensor spaces without any additional training. To facilitate evaluation, we introduce a real-world MS dataset containing high-dimensional ground-truth illumination spectra captured under diverse lighting conditions. Through extensive experiments, we demonstrate that our method achieves superior accuracy compared to existing models, thus providing a practical solution for real-world ISE. The code and dataset are available at https://github.com/hyejin5/Spectrum-Aware-Illumination-Estimation-Using-Multispectral-Image.","['eess.IV', 'cs.CV']",2026-06-12T08:26:59+00:00,https://arxiv.org/pdf/2606.14248v1,arxiv://2606.14248v1,23,30
2606.13970v1,An Attention-based Model for Robust Forecasting with Missing Modality,"['Zhitian Zhang', 'Wenjie Zi', 'Yunduz Rakhmangulova', 'Saghar Irandoust', 'Hossein Hajimirsadeghi', 'Thibaut Durand']","Learning with missing modalities is a fundamental challenge in multimodal robot learning, as real-world robotic systems often operate in environments with incomplete sensor data. Attention-based models are appealing for processing multimodal data because they can handle multiple modalities with a single backbone network. However, most multimodal models assume that all modalities are available during both training and inference, limiting their applicability in robotic perception and decision-making. In this paper, we introduce a multimodal model designed to handle missing modalities during both training and inference. The model is formulated as a conditional variational autoencoder (CVAE) and incorporates a transformer-based architecture that leverages attention mechanisms to learn a unified, fixed-dimensional representation, even when some modalities are missing. We show that our proposed model can be trained with missing modalities while approximating a robust representation of all modalities. We evaluate our approach on five multimodal datasets across two robot learning tasks: human trajectory prediction and robot manipulation forecasting. Experimental results demonstrate that our model effectively learns from incomplete data and is superior to prior multimodal fusion approaches.","['cs.RO', 'cs.LG']",2026-06-11T23:24:38+00:00,https://arxiv.org/pdf/2606.13970v1,arxiv://2606.13970v1,24,30
2606.13488v1,Point-Wise Geometry-Aware Transformer for Partial-to-Full Point Cloud Registration in Computer-Assisted Surgery,"['Siyu Zhou', 'Zhongliang Jiang']","Partial-to-full registration remains challenging due to varying overlap ratios, fluctuating point densities, and the presence of noise. While transformers have shown strong potential for point cloud processing, prior methods typically confine them to global context aggregation, overlooking fine-grained local geometry crucial for accurate correspondence. We propose \emph{GAPR-Net}, a learning-based point cloud registration framework with a coarse-to-fine architecture that combines convolution and transformer modules, in which local and global information is fused between the partial and full point clouds using a cross-attention mechanism. To achieve this, a transformation-invariant point-wise geometric feature representation is proposed, which can robustly capture relative geometric features for individual points with respect to their neighboring points. To evaluate the effectiveness of the proposed approach, experiments are conducted on four geometrically distinct bones, including the tibia, femur, pelvis, and thoracic cartilage. The overall registration recall reaches 94.2\%, the method results in a low RMSE of 1.992 mm and $R^2$ values of 0.908 and 0.974 for rotation and translation, respectively. The results demonstrate that the proposed method effectively addresses the partial-to-full point cloud registration problem. The proposed method enables highly accurate 3D point cloud registration using partial observation, providing a critical foundation for precise surgical navigation and robotic interventions in computer-assisted surgery. The code will be accessed after the double-blind review process.",['cs.CV'],2026-06-11T15:37:53+00:00,https://arxiv.org/pdf/2606.13488v1,arxiv://2606.13488v1,25,30
2606.12364v1,On Subquadratic Architectures: From Applications to Principles,"['Anamaria-Roberta Hartl', 'Levente Zólyomi', 'David Stap', 'Pieter-Jan Hoedt', 'Niklas Schmidinger', 'Lukas Hauzenberger', 'Sebastian Böck', 'Günter Klambauer', 'Sepp Hochreiter']","Transformers dominate modern sequence modeling, but their quadratic attention incurs substantial computational cost. Subquadratic architectures offer a scalable alternative. However, it remains unclear which designs yield the most effective sequence models. We compare three leading approaches: xLSTM, Mamba-2, and Gated DeltaNet. We evaluate these models on tasks with complex dependencies: (1) code-model pre-training, (2) distillation of code models from large language models, and (3) pre-training of time-series foundation models. Across these settings, xLSTM delivers the strongest overall performance. To explain xLSTM's advantage, we present a unified formulation and analyze the underlying architectural mechanisms, focusing on state tracking and memory dynamics. Our results show that xLSTM enables more flexible and stable memory correction via its gating scheme. We corroborate these findings on controlled synthetic length-generalization tasks. Overall, our findings indicate that xLSTM's gains on complex tasks stem from robust state tracking and accumulation.",['cs.LG'],2026-06-10T17:33:55+00:00,https://arxiv.org/pdf/2606.12364v1,arxiv://2606.12364v1,26,30
2606.12059v1,Attention by Synchronization in Coupled Oscillator Networks,"['Fabio Pasqualetti', 'Taosha Guo']","We address transformer attention on energy-constrained physical substrates. Softmax attention requires exponentiation and global reduction, operations with high energy cost on von Neumann hardware and no natural physical analog. We show that Kuramoto synchronization dynamics (which arise in electrical, mechanical, superconducting, and charge-density-wave oscillator arrays, among other physical systems) implement a well-defined attention operation without either. The resulting mechanism, fixed-query oscillator attention, replaces softmax's arithmetic with the equilibration of a gradient flow on the sphere: queries are learned anchors fixed on the sphere, and free oscillators evolve under Kuramoto-Lohe dynamics until they settle at positions encoding attention weights via cosine similarity. Because the computation is equilibration, it requires no exponentiation; the only global operation is an affine normalization at readout. The fixed point is provably unique and globally attractive from almost every initial condition, a guarantee that holds across every physical realization. Empirically, at the minimal hardware configuration (oscillator dimension $d_{\mathrm{osc}}$ = 2), oscillator attention outperforms softmax on keyword spotting (+1.00 pp) and on subject-verb agreement (+5.27 pp on hard sentences, with zero training failures versus one in five for softmax). On causal language modeling, where softmax retains an advantage, oscillator attention closes the gap as $d_{\mathrm{osc}}$ grows: from +11.09 PPL at $d_{\mathrm{osc}}$ = 2 to +2.98 PPL at $d_{\mathrm{osc}}$ = 32 on WikiText-2, and from +2.39 PPL at $d_{\mathrm{osc}}$ = 2 to +0.57 PPL at $d_{\mathrm{osc}}$ = 32 on TinyStories. The main objective of this work is not to replace softmax in software but to provide a mathematically grounded blueprint for accurate attention on physical substrates.","['cs.LG', 'cs.NE', 'nlin.AO']",2026-06-10T13:28:14+00:00,https://arxiv.org/pdf/2606.12059v1,arxiv://2606.12059v1,27,30
2606.12058v1,Phase Transitions in Attention: A Bayesian Theory of Copy Head Emergence,"['Itay Lavie', 'Kirsten Fischer', 'Andrey Lekov', 'Frederic Van Maele', 'Zohar Ringel', 'Moritz Helias']","Attention is the key mechanism underlying in-context learning in transformers, and attention patterns have been observed empirically to emerge abruptly during training. We present a Bayesian theory of feature learning in attention; we then focus on how the copy subcircuit in the first layer of an induction head is learned by analyzing a single-layer softmax attention network trained on a copy task. We derive a closed-form posterior over the attention matrix and reduce it to a low-dimensional order parameter space. This reduction reveals a phase transition in the amount of training data, which we verify using both Bayesian sampling and standard training with Adam. We contrast our results with linear attention and find that softmax attention exhibits a \emph{first-order phase transition} while in linear attention an initial \emph{second-order phase transition} is followed by a smooth, continuous evolution toward the structured attention pattern (\emph{crossover}). Our work provides a first-principles theoretical account of the abrupt emergence of the copy subcircuit, reminiscent of the one observed in training large language models.","['stat.ML', 'cond-mat.dis-nn', 'cs.LG']",2026-06-10T13:26:56+00:00,https://arxiv.org/pdf/2606.12058v1,arxiv://2606.12058v1,28,30
2606.12036v1,Vision Transformers for Face Recognition Need More Registers,"['Tahar Chettaoui', 'Guray Ozgur', 'Eduarda Caldeira', 'Naser Damer', 'Fadi Boutros']","Recent advances in Vision Transformers (ViTs) for face recognition (FR) have moved beyond the standard CLS-token paradigm. In this paradigm, a special classification token (CLS) is prepended to the patch embeddings and used as a representation of the input for downstream tasks. An alternative approach, Concatenated Patch Embeddings (CPE), instead leverages all patch tokens by concatenating them into a single vector, which is then projected into a compact face representation. CPE has been shown to improve recognition performance in comparison to CLS-based ones, but our qualitative analysis of attention maps showed the presence of artifacts that limit their interpretability. To address this issue, we incorporate register tokens, learnable tokens concatenated to the initial patch embeddings, and processed jointly through the ViT encoder blocks. This mechanism has been shown to produce more structured and interpretable attention maps compared to baseline ViT. We empirically demonstrate that these artifacts consistently appear across various ViT backbones, including small and large models, and that introducing register tokens effectively mitigates them. Adding four or eight registers significantly enhances interpretability, with eight registers providing the highest verification accuracies and smoothest attention structures. Our resulting model, ViT-8R, corresponds to a CPE-based ViT-B architecture augmented with eight register tokens achieves state-of-the-art performance among ViT-based FR models on large-scale IJB-B and IJB-C benchmarks. Also, ViT-8R produces substantially clearer attention maps compared with the baseline model, which offer deeper insight into the model's attention behavior (https://github.com/TaharChettaoui/ViT-FR-Registers)",['cs.CV'],2026-06-10T12:58:23+00:00,https://arxiv.org/pdf/2606.12036v1,arxiv://2606.12036v1,29,30
2606.12478v1,Boltzmann Attention: Learnable Ising Couplings for Cooperative Attention,"['Gilhan Kim', 'Daniel K. Park']","Attention mechanisms are central to modern sequence models, yet standard attention computes relevance primarily through individual query--key similarities. Although softmax normalization introduces competition among positions, a standard attention layer does not explicitly parameterize learnable interactions between attention decisions. This limits its ability to directly model cooperative or antagonistic co-attention structure within the attention mechanism itself. We propose Boltzmann attention, an energy-based generalization in which attention patterns are governed by an interacting Ising model. The method augments the usual data-dependent local fields with learnable pairwise couplings, allowing the model to represent inter-position correlations beyond those captured by softmax or sigmoid attention. Experiments on character-level language modeling and synthetic bracket matching show that Boltzmann attention consistently improves over standard softmax attention within a standard Transformer architecture, with the advantage becoming more pronounced as sequence length increases. A four-way ablation confirms that the improvement arises from the learnable pairwise couplings. These results suggest that explicit inter-position interactions provide a principled enhancement for attention-based sequence modeling. Moreover, the Ising formulation opens a natural path toward quantum-computing-based sampling strategies: we demonstrate that diabatic quantum annealing provides a practical training method while maintaining competitive performance with exact Boltzmann computation.","['cs.LG', 'cond-mat.stat-mech', 'quant-ph']",2026-06-10T06:58:49+00:00,https://arxiv.org/pdf/2606.12478v1,arxiv://2606.12478v1,30,30
